state_code,park_code,park_name
ID,nepe,Nez Perce National Historical Park
OK,okci,Oklahoma City National Memorial
UT,rabr,Rainbow Bridge National Monument
SC,reer,Reconstruction Era National Historical Park
TX,rigr,Rio Grande Wild & Scenic River
CA,rori,Rosie the Riveter WWII Home Front National Historical Park
NY,sapa,Saint Paul's Church National Historic Site
MA,sair,Saugus Iron Works National Historic Site
TN,stri,Stones River National Battlefield
AZ,waca,Walnut Canyon National Monument
WA,wing,Wing Luke Museum Affiliated Area
NC,wrbr,Wright Brothers National Memorial
AZ,wupa,Wupatki National Monument
CO,yuho,Yucca House National Monument
UT,zion,Zion National Park
